314,ALLENDALE,41,2299,32.9902,-81.2876
315,ALLENDORF,13,605,43.4153,-95.6434
316,ALLENHURST,11,459,31.7791,-81.6039
317,ALLENHURST,32,1904,40.2371,-74.0086
318,ALLENSPARK,6,237,40.2102,-105.508
319,ALLENSVILLE,18,1085,36.7207,-87.1041
320,ALLENSVILLE,39,2268,40.5397,-77.7902
321,ALLENTON,23,1287,42.9388,-82.9198
322,ALLENTON,49,3037,43.3821,-88.2622
323,ALLENTOWN,32,1904,40.1497,-74.5396
324,ALLENTOWN,35,1963,42.0737,-78.0594
325,ALLENTOWN,39,2263,40.6236,-75.5103
326,ALLENWOOD,39,2284,40.9781,-77.0818
327,ALLERTON,13,626,40.6729,-93.4056
328,ALLERTON,15,768,39.9237,-87.8997
329,ALLEYTON,44,2548,29.7092,-96.4865
330,ALLIANCE,30,1795,42.2198,-103.073
331,ALLIANCE,36,2099,40.8203,-81.3353
332,ALLIGATOR,26,1504,34.0742,-90.7597
333,ALLISON,13,545,42.6971,-92.7981
334,ALLISON,39,2250,39.9868,-79.8637
335,ALLISON PARK,39,2226,40.4344,-80.0248
336,ALLONS,43,2475,36.4811,-85.3467
337,ALLOUEZ,23,1255,47.2879,-88.4129
338,ALLPORT,39,2241,40.9891,-78.4224
339,ALLRED,43,2475,36.324,-85.2031
340,ALLSTON,20,1172,42.3572,-71.1126
341,ALLYN,48,2954,47.3224,-122.984
342,ALMA,2,28,31.4825,-87.8801
343,ALMA,3,99,35.4792,-94.1933
344,ALMA,11,373,31.577,-82.4612
345,ALMA,15,734,38.7584,-88.929
346,ALMA,17,969,38.9536,-96.2046
347,ALMA,23,1242,43.2988,-84.6302
348,ALMA,25,1437,39.1056,-93.5909
349,ALMA,30,1830,40.1018,-99.3528
350,ALMA,35,1963,42.0254,-78.0848
351,ALMA,49,2976,44.3467,-91.8365
352,ALMA,50,3090,39.4506,-80.8701
353,ALMA CENTER,49,2997,44.451,-90.9759
354,ALMELUND,24,1309,45.5134,-92.8942
355,ALMENA,17,939,39.8913,-99.7115
356,ALMENA,49,2973,45.4344,-91.9659
357,ALMIRA,48,2953,47.5297,-118.599
358,ALMO,18,993,36.6902,-88.2839
359,ALMOND,28,1722,35.4099,-83.4794
360,ALMOND,35,1963,42.3133,-77.8513
361,ALMOND,49,3020,44.3795,-89.3566
362,ALMONT,6,255,38.82,-106.66
363,ALMONT,23,1257,42.934,-83.0525
364,ALMONT,29,1765,46.7202,-101.498
365,ALMYRA,3,83,34.3844,-91.3924
366,ALNA,22,1205,44.009,-69.5667
367,ALPENA,3,87,36.3108,-93.2523
368,ALPENA,23,1217,45.0331,-83.4951
369,ALPENA,42,2378,44.1228,-98.4122
370,ALPHA,15,713,41.2019,-90.2456
371,ALPHA,18,1002,36.7517,-85.1354
372,ALPHA,24,1328,43.6742,-95.1545
373,ALPHARETTA,11,430,33.9812,-84.3441
374,ALPINE,2,76,33.404,-86.2339
375,ALPINE,3,92,34.0555,-93.1894
376,ALPINE,4,158,34.1771,-109.241
377,ALPINE,5,209,32.8789,-116.911
